,AZD-8055,Dactolisib,Dasatinib,MK-2206,Nintedanib,Mirdametinib,Pictilisib,Refametinib,Selumetinib,Staurosporine,Tideglusib
BCR,1.0,1.95375715626812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TNKS1BP1,1.0,1.72479428501512,2.36922996626359,1.0,1.0,1.0,1.0,1.0,2.27599401195958,1.72272633040766,1.0
"HSP90AB1, HSP90AB3P",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.02907543772996,1.0
PLEKHA6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1327629758521,1.0
UBN1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.90221587023271,1.0
CDC42EP4,1.0,2.1650717622473468,1.0,2.100927222,1.0,1.0,1.0,1.0,1.0,2.583579207830553,1.0
SLC12A2,1.0,1.71417343424019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM245,1.0,1.0,1.93149849965202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RBMXL1,1.0,1.0,2.62189835224883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LAD1,1.0,1.0,2.841035146290684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DENND1A,1.0,1.0,1.0,1.0,1.94523149265437,1.0,1.0,1.0,1.0,2.17528378941234,1.0
PUM2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.74562347822753,1.0
RBM7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.80442872096596,1.0
RDBP,1.0,2.26487404369205,3.36486550760481,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BUD13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2962985135988347,1.0
BAZ2A,1.0,1.0,2.02842980430663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UTP14A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2353905258288,1.0
C15orf52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.07471436090829,1.0
PRKD1,1.0,3.84750403809542,1.0,1.0,1.0,1.0,1.0,1.96014799543627,1.0,1.0,1.0
IQGAP2,1.0,1.0,1.0,2.00892997149589,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NCL,1.0,1.0,1.724486285138715,1.0,1.0,1.0,1.0,1.0,1.0,2.00454103922739,1.0
ARHGEF2,1.0,2.136175302878585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PEAK1,1.0,1.0,1.72105180871619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SNIP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.24895569412371,1.0
PKP3,1.0,3.46902612560823,1.0,1.0,1.0,1.0,1.0,1.98447912895766,1.0,1.74843865313574,1.0
PCBP2,1.0,1.0,1.0,2.418121892,1.0,1.0,1.0,1.0,1.0,1.93285412131876,1.0
MCM2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.87013802727603,1.0
"CAMKK1, CAMKK2",1.0,1.95553818105116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DGCR8,1.0,1.0,2.00678592272764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OSTF1,1.0,1.0,3.0575066435377565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EPB41,1.0,1.0,2.8457467560667498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DUSP9,1.0,1.0,2.6598483704146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AFTPH,1.0,2.05623920872201,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CARHSP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.330192569625538,1.0
SLC2A1,1.0,2.7156731154232,1.0,1.0,1.7000810381709,1.0,1.0,1.0,1.0,1.0,1.0
CTR9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.38811959993606,1.0
CFL1,1.0,1.66079321137352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OTUD7B,1.0,1.0,1.0,2.055901839,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RAI1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.81665224035833,1.0
THOC2,1.0,1.0,3.04791818920901,1.0,1.0,1.0,1.0,1.0,1.0,1.87471809819005,1.0
CD3EAP,1.0,1.0,1.80852659260444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BAIAP2L1,1.0,1.0,1.0,1.0,1.73358726945931,1.0,1.0,1.0,1.0,4.497850248058295,1.0
WNK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.788550497775424,1.0
SON,1.0,1.0,2.09489591820646,1.0,1.0,1.0,1.0,1.0,1.0,2.7993507243601625,1.0
ANLN,1.0,2.53406808934777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSRP1,1.0,1.0,1.8167579236457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C16orf88,1.0,1.0,2.61971918568249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RPL29,1.0,1.0,2.04125948954143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KIAA1191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.92771470300841,1.0
FOXK2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.94905484697644,1.0
ADD3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.10281396306112,1.0
ZNF638,1.0,1.0,3.02653772246433,1.0,1.0,1.0,1.0,1.0,1.0,2.72167869389528,1.0
HSP90AB1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.86382406164603,1.0
PARVA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.74260195474708,1.0
RPL37A,1.0,1.0,5.73063500789039,1.0,1.0,2.16073972411298,1.0,1.0,1.0,1.0,1.0
"EXOC1, RAB11FIP2",1.0,1.0,1.81835039508038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INCENP,1.0,1.0,1.84288809874914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PATL1,1.77734803669812,1.0,2.00852379764688,2.50945574084788,1.0,1.0,1.78041990345621,1.0,2.50945574084788,1.95560238904463,1.0
FKBP15,1.0,1.0,2.1918409109331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NGEF,1.0,1.77202021168415,1.0,1.0,1.67098760486076,1.0,1.0,1.0,1.0,1.0,1.0
RICTOR,1.0,1.0,2.34816259491515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MOB3C,1.0,1.0,2.212794502697763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F11R,1.0,2.14717665583686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IRS1,1.0,1.0,1.0,2.428908950525075,1.0,1.0,1.0,1.0,2.428908950525075,1.93769593653026,1.0
HSP90AA1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7737244221661532,1.0
ACOX1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8550429525258,1.0
CKAP4,1.0,1.0,1.78173029495338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IMPDH2,1.0,1.0,1.0,1.0,1.0,2.21203518957886,1.0,1.0,1.0,1.0,1.0
C14orf43,1.0,1.0,2.27316352552514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RIN2,1.0,1.81218145496192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DDX51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6850022574894,1.0
FXR2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.84557283667189,1.0
C18orf21,1.0,1.0,1.77106295729696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DAB2IP,1.0,1.0,2.62753477106196,1.0,1.0,1.0,1.0,1.0,1.0,2.4449228337927,1.0
MAP1S,1.0,1.0,1.0,1.0,1.78638599035235,1.0,1.0,1.0,1.0,1.0,1.0
HMGN1,1.0,1.900169742359865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72667283990346,1.0
"HCK, LYN",1.0,1.0,1.97625499036926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TMPO,1.0,1.0,2.43745405024029,1.0,1.76014503515519,1.0,1.0,1.0,1.0,1.0,1.0
REEP4,1.0,1.0,1.93975963920946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CEP85,1.0,1.0,2.31084269615831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C19orf21,1.0,2.587705848267404,1.70830966580492,2.01801044,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SRSF6,1.0,1.0,1.0,1.0,1.0,1.0,1.9602606676332,1.0,1.0,2.091589262175837,1.0
PPP1R12A,1.0,1.75119900010711,2.17330594978155,1.761166372785125,1.0,1.0,1.82748956625813,1.0,1.0,2.21012780321191,1.0
RPRD2,1.0,1.85181861033851,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.89872544308606,1.0
GCFC2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.86846629468928,1.0
ZNF593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73008802223455,1.0
SLBP,1.0,1.0,2.05853985853158,1.0,1.0,1.0,1.0,1.0,1.0,2.34029725847741,1.0
SPEN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.730078701826215,1.0
LMNA,1.0,1.9275514370897,3.4688376090404702,1.0,1.78059104107688,1.0,1.0,1.76856588025648,1.0,2.645889789695355,1.0
MAGEB1,1.0,1.0,2.73093397125989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TACC1,1.0,1.0,1.67460077909856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CAST,1.0,1.0,1.0,1.0,1.67087895719855,1.0,1.0,1.0,1.0,2.25554318456594,1.0
RECQL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.46526653341795,1.0
LRRFIP1,1.0,1.0,2.08252869814698,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DHX57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.66253351891334,1.0
INTS3,1.0,1.0,3.5971020704417205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACIN1,1.0,2.14966478111617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.919166745757953,1.0
MDC1,1.0,1.0,2.01371415162473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZZEF1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72307486975237,1.0
BCLAF1,1.0,1.0,2.2003447255140958,1.0,1.0,1.0,1.71227139428502,1.0,1.0,2.060370211338915,1.0
LSMD1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.14119255068205,1.0,5.69277133855886,1.0
ASAP2,1.0,1.0,2.13312194234331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RNF216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.18965457986486,1.0,1.0
ARAF,1.0,1.0,1.8485779080158304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDCA7L,1.0,1.0,2.11434370804586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TMSB10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.54873429281893,1.0
LARP4B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.19379111275292,1.0
DOCK7,1.0,2.18407457480809,1.92287215449196,1.0,1.0,1.0,1.0,1.90217023135242,1.0,1.0,1.0
TP53BP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1744069028511035,1.0
EEF2,1.0,1.0,2.732057938603833,1.0,1.943121126996,1.0,1.0,1.0,1.0,11.095019026941223,1.0
EIF2B5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.67795053331797,1.0
CHAMP1,1.0,1.0,1.0,3.04189671630444,1.0,1.0,1.0,1.0,3.04189671630444,1.9573920810604464,1.0
TRIM24,1.93176830911329,2.6094256440491,1.0,1.68102249637842,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NAV3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.89658127127312,1.0
NFATC3,1.0,1.0,1.0,2.141949012,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ADD2,1.0,1.0,1.73574727971595,1.0,1.0,1.0,1.0,1.0,1.0,2.656907186798376,1.0
SLC26A2,1.0,1.82225163674193,1.0,2.15180331643747,1.0,1.0,1.0,2.08516674333949,1.0,2.15028059707129,1.0
"CAMK2B, CAMK2D, CAMK2G",1.0,1.0,2.6971013941133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARHGDIA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.73409566435989,1.0
WDR62,1.0,1.8572298365047,1.0,2.051868322,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"CTAGE4, CTAGE5, CTAGE6P, CTAGE8",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67071580206331,1.0
KIAA1462,1.94263444616034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MBP,1.0,2.004521990894845,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.90527733092652,1.0
ZNF281,1.0,1.6664023205785,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HMGN3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.49341295003353,1.0
SPECC1L,1.0,1.75323144124558,1.0,2.010978424,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NCAPG,1.0,1.0,1.8429368631062328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RPL15,1.0,1.0,2.31411756112879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SMCHD1,1.0,1.0,2.21057823031442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DCP2,1.0,1.0,2.01743883086435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARHGAP6,1.0,1.0,2.3688691552895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RBM25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.81481076066426,1.0
CREBZF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.77931541127652,1.0
GAPVD1,1.0,1.8262328417764,1.0,1.0,1.68731504503591,1.0,1.0,1.0,1.0,2.16941527607545,1.0
METTL16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.70611365790797,1.0
CIT,1.0,1.0,2.27627792145435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GLIS3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67109741858472,1.0
PKMYT1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.08067610388469,1.0
ANP32A,1.0,1.89613631898364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"FRMD8, FRMD8P1",1.0,1.0,2.021235709005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AKAP1,1.0,1.0,1.0,2.219363429,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACTR10,1.0,1.9730054612120649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ERC1,1.0,1.0,1.78786469910684,1.0,1.0,1.0,1.0,1.0,1.0,1.8891591301283,1.0
NMD3,1.71124203957181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91305687197885,1.0
MAP1B,1.0,2.1552352781943,2.37059242349811,1.0,1.0,1.9007525322970704,1.0,1.0,1.0,2.451428293365879,1.0
CLINT1,1.0,1.0,4.05280618614431,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATXN2L,1.0,1.0,1.77274245991862,1.0,1.0,1.0,1.0,1.0,1.0,1.76416864746247,1.0
C2orf49,1.0,1.0,2.2412235582896964,1.0,1.0,1.0,1.0,1.0,1.0,1.76561688880275,1.0
UBASH3B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.10559440501973,1.0
MTOR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.79696240744993,1.0
EZH2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.82756236733127,1.0
PAICS,1.0,1.0,1.74907336723331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EPB49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7451726232178,1.0
OSBPL3,1.790605131775,1.0,2.408187679193884,1.0,1.0,1.0,1.0,1.0,1.0,1.98140432337403,1.0
"MAP4K4, MINK1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.90577215247534,1.0
PRR12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.68021580345873,1.0
RAB7A,1.0,1.74131709979083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"GLI2, GLI3",1.0,1.0,1.69643090874222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TNFRSF21,1.0,1.0,2.97704355384298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ERF,1.0,1.0,1.0,2.07838934,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARHGEF18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.92107194022091,1.0,1.73203063681139,1.0
GYS1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.60065834977931,1.0
FOSL1,1.0,1.0,2.376741778869655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TEX2,1.0,1.0,1.0,1.0,1.72778521163812,1.0,1.0,1.0,1.0,2.32674404193778,1.0
R3HDM1,1.0,1.0,2.72177978383677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RBM5,1.0,1.0,1.72259309361012,1.0,1.80350960765216,1.0,1.69611071663961,1.0,1.0,1.9410149943642436,1.0
ATXN1L,1.0,1.0,1.0,1.69929060190806,1.0,1.0,1.0,1.0,1.0,1.86781019341509,1.0
PRRC2B,1.0,1.8254586241703,1.0,1.0,1.0,1.0,1.0,1.0,2.3393535609642,1.0,1.0
NEMF,1.0,1.74520047113763,1.0,1.74022023394423,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KIAA1522,1.0,1.0,1.66892663636883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
STXBP5,1.0,1.89715995298836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RBBP6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.82846717691216,1.0
RNF6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67593702661708,1.0
USP36,1.0,1.0,2.86470787900456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BIN1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8061086296929,1.0
RPL21,1.0,1.0,2.5676454082431848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CTTN,1.0,1.0,2.8624678941569868,1.0,1.0,1.0,1.0,1.0,1.0,1.8489427209525695,1.0
TAB2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.201543470976655,1.0
ACAP2,1.0,1.0,1.0,2.05082984996123,1.0,1.0,1.0,1.0,2.05082984996123,1.0,1.0
CENPT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.84255307020715,1.0
CLASP1,1.0,1.0,1.76817145176926,1.0,1.0,1.0,1.0,1.0,1.0,5.7465367211358,1.0
EIF4EBP1,1.0,1.0,2.13047131013367,1.0,1.0,1.0,1.0,1.0,1.0,2.7755851893361,1.0
CYLD,1.0,1.66371365446043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.30779609667937,1.0
ZFC3H1,1.70670718273844,2.19817399258324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SAMHD1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.84182824782131,1.0
HDAC7,1.0,1.68670208261426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARHGEF1,1.0,1.0,1.0,2.09605969055188,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RCSD1,1.0,1.0,2.165204661610668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AAK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.54039275466953,1.0
OSBPL10,1.75145184679335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHTF18,1.0,1.0,1.66122894818755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INTS1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.66057941039965,1.0
RPS7,1.0,1.0,1.69851517817087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DTD1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.36316074922028,1.0
VPS4A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.68849738706065,1.0
ING4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.20426589303018,1.0
NOP2,1.0,2.05635503642404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
